x,y,type,geom
98.33349402,25.67043612948806,square,POINT (433111.673975445 2839356.0907398243)
98.34600842473009,25.583618159217597,square,POINT (434320.1463506181 2829735.3781670784)
98.28169474452751,25.624944669453217,square,POINT (427885.76711348584 2834345.4101801966)
98.28112739089477,25.62465703698847,square,POINT (427828.6329300935 2834313.8657435253)
98.28025057025722,25.61380210974126,square,POINT (427734.0716094909 2833112.2323286054)
98.27819381873957,25.616660841260856,square,POINT (427529.28240032966 2833429.9410098)
98.27811922948474,25.61675255619137,square,POINT (427521.8485766506 2833440.138626594)
98.27802882,25.616832042407548,square,POINT (427512.81878034887 2833448.990653748)
98.27792710564658,25.616887071295466,square,POINT (427502.639519591 2833455.1403831025)
98.30159979175392,25.60231042,square,POINT (429870.98792404134 2831828.1402301188)
98.30241729607069,25.602009294264107,square,POINT (429952.9037384303 2831794.360564874)
98.28472163049524,25.629414016050728,square,POINT (428192.33382379275 2834838.7166859168)
98.31411642506733,25.810154797843843,square,POINT (431247.39253720635 2854839.1344369226)
98.31396588741502,25.810158024516653,square,POINT (431232.30413451407 2854839.570440548)
98.31379742861364,25.810054770943147,square,POINT (431215.3577792523 2854828.2235953305)
98.31395155049576,25.80998701073664,square,POINT (431230.7682272841 2854820.638885504)
98.31409850391825,25.80995474395801,square,POINT (431245.48059571604 2854816.9886854663)
98.31418452543384,25.80969338272721,square,POINT (431253.9527681884 2854787.999100635)
98.31402682,25.80972887626153,square,POINT (431238.1643478936 2854792.0122585646)
98.31387628,25.80976759646865,square,POINT (431223.09638635896 2854796.3790291264)
98.31368990171916,25.80975146305056,square,POINT (431204.4038204495 2854794.689750133)
98.31394438203613,25.81054199795351,square,POINT (431230.3700835514 2854882.105103793)
98.31800441998352,25.80921626,square,POINT (431636.5959579529 2854733.169709253)
98.31810947415978,25.809230167781376,square,POINT (431647.134906496 2854734.655394767)
98.31802913861324,25.808445750004665,square,POINT (431638.63162403647 2854647.826259624)
98.31819289953502,25.80845409490196,square,POINT (431655.05243779 2854648.6653594105)
98.32496172,25.81315966454051,square,POINT (432336.2582660235 2855166.28844855)
98.32485057198906,25.81325972382452,square,POINT (432325.1734719409 2855177.4267430995)
98.32477338448254,25.813362562445008,square,POINT (432317.4946649346 2855188.855375552)
98.32469928447632,25.813454283301464,square,POINT (432310.1190417355 2855199.0511806225)
98.32452329696147,25.81369609249169,square,POINT (432292.6156122881 2855225.9210475576)
98.33250203034036,25.81274099988848,square,POINT (433091.86165541725 2855116.0671099047)
98.33230343,25.81271189537121,square,POINT (433071.9375370395 2855112.944922624)
98.33211406584088,25.812815840042912,square,POINT (433053.0141438155 2855124.552666955)
98.33095479096748,25.812558057089696,square,POINT (432936.663267758 2855096.594725984)
98.33090398609257,25.81232106258937,square,POINT (432931.43711130053 2855070.374539608)
98.33688805223346,25.80898837405055,square,POINT (433529.4223118061 2854698.257911589)
98.33623011114815,25.80850681877951,square,POINT (433463.19922452065 2854645.2603866826)
98.33618196911752,25.808441808667965,square,POINT (433458.3369789439 2854638.0851583453)
98.33613383,25.80838883743959,square,POINT (433453.48145390773 2854632.243182673)
98.33326056013668,25.816884060358955,square,POINT (433170.22187838383 2855574.5070546656)
98.33319027683316,25.816754992833143,square,POINT (433163.1044742686 2855560.249104125)
98.32642721,25.80947745664603,square,POINT (432481.0712473057 2854757.7473569605)
98.32657324437278,25.809604052515525,square,POINT (432495.78168142214 2854771.6923649716)
98.32799424804884,25.81081008522351,square,POINT (432638.90909112606 2854904.5269142166)
98.32813935385276,25.810868142792074,square,POINT (432653.48757703183 2854910.8822558722)
98.32841296527296,25.813788159039667,square,POINT (432682.56538057944 2855234.121100941)
98.31698734,25.80156377,square,POINT (431530.2426027133 2853886.218305022)
98.32662204428908,25.80216127262024,square,POINT (432496.4562645401 2853947.4129820173)
98.32673953101796,25.80213042198916,square,POINT (432508.2167199403 2853943.936167531)
98.32684722718606,25.80209075688027,square,POINT (432518.99069443304 2853939.488219858)
98.32752767115744,25.802646067196683,square,POINT (432587.518767643 2854000.6376276594)
98.33442472539076,25.799046813739903,square,POINT (433276.92315672303 2853598.5228610667)
98.33194611406412,25.79769209774978,square,POINT (433027.67714796343 2853449.75307759)
98.37261011738764,25.794275899604752,square,POINT (437102.54106550803 2853051.3698298833)
98.37279050105626,25.794253237652057,square,POINT (437120.61349182203 2853048.773979378)
98.37299185957008,25.794253237652057,square,POINT (437140.8007118043 2853048.6778305117)
98.37282826,25.794117265844907,square,POINT (437124.3268687292 2853033.697794041)
